concept,concept_type,domain,name,description,source_url,tags,scales,indicator_url,color,drill_up,unit
parent_immigrant,string,person,Parent Immigrant (Y/N)*,,,,,,,,
parent_immigration_detail,string,person,Parent Immigration Detail*,,,,,,,,
pre_wealth_bankruptcy,string,person,Pre-Wealth Bankruptcy (Y/N)*,,,,,,,,
primary_domain_expertise,string,person,Primary Domain Expertise*,,,,,,,,
party_detail,string,person,Party Affiliation Detail*,,,,,,,,
primary_philanthropic_causes,string,person,Primary Philanthropic Causes*,,,,,,,,
private_jet,string,person,Private Jet (Y/N)*,,,,,,,,
revenue_model_type_detail,string,person,Revenue Model Type Detail*,,,,,,,,
role_at_employer_1,string,person,Role at Employer 1*,,,,,,,,
role_at_employer_2,string,person,Role at Employer 2*,,,,,,,,
role_at_employer_3,string,person,Role at Employer 3*,,,,,,,,
co_founded,string,person,Co-Founded (Y/N)*,,,,,,,,
founding_detail,string,person,Founding Detail*,,,,,,,,
total_pre_founding_career_years,measure,person,Total Pre-Founding Career Years*,,,,,,,,
wealth_concentration_ratio_pct,measure,person,Wealth Concentration Ratio (%)*,,,,,,,,
yacht,string,person,Yacht (Y/N)*,,,,,,,,
year_founded,measure,person,Year Founded*,,,,,,,,
years_at_employer_1,measure,person,Years at Employer 1*,,,,,,,,
years_at_employer_2,measure,person,Years at Employer 2*,,,,,,,,
years_at_employer_3,measure,person,Years at Employer 3*,,,,,,,,
years_founding_to_1b,measure,person,Years from Founding to $1B*,,,,,,,,
initial_funding_type,entity_domain,,Initial Funding Type*,,,,,,,,
skill_profile,entity_domain,,Skill Profile*,,,,,,,,
moat_type,entity_domain,,Moat Type*,,,,,,,,
revenue_model_type,entity_domain,,Revenue Model Type*,,,,,,,,
family_socioeconomic_class,entity_domain,,Family Socioeconomic Class*,,,,,,,,
consumption_index,entity_domain,,Consumption Index*,,,,,,,,
market_position,entity_domain,,Market Position*,,,,,,,,
media_visibility,entity_domain,,Media Visibility*,,,,,,,,
parent_education_level,entity_domain,,Parent Education Level*,,,,,,,,
party,entity_domain,,Political Party*,,,,,,,,
social_media_activity,entity_domain,,Social Media Activity*,,,,,,,,
worth,measure,,"Net Worth (millions, 2021 USD)",,,,,,,,
annual_income,measure,,Annual Income (2021 USD),,,,,,,,
daily_income,measure,,Daily Income (2021 USD),,,,,,,,
average_age_of_dollar_billionaires_years,measure,,Average age of dollar billionaires (years),,,,,,,,
total_number_of_dollar_billionaires,measure,,Total number of dollar billionaires,,,,,,,,
dollar_billionaires_per_million_people,measure,,Dollar billionaires per million people,,,,,,,,
forbes_rank,measure,,Forbes Billionaire Rank,,,,,,,,
revenue_m,measure,,Revenue ($M),,,,,,,,
gross_margin_pct,measure,,Gross Margin (%),,,,,,,,
operating_margin_pct,measure,,Operating Margin (%),,,,,,,,
