person,education_order,school,degree
christian_chabot,2,Stanford University Graduate School of Business,Master of Business Administration
christian_chabot,3,University of Sussex,Master of Science
christopher_goldsbury,1,Trinity University,Bachelor of Arts/Science
christy_walton,1,High School,High School Graduate
clifford_asness,1,University of Chicago,Doctorate
clifford_asness,2,University of Chicago,Master of Business Administration
clifford_asness,3,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
craig_mccaw,1,Stanford University,Bachelor of Arts/Science
dagmar_dolby,1,Heidelberg University,Bachelor of Arts/Science
dan_cathy,1,Georgia Southern University,Bachelor of Arts/Science
dan_friedkin,1,Georgetown University,Bachelor of Arts/Science
dan_friedkin,2,Rice University,Master of Business Administration
dan_kurzius,1,High School,High School Graduate
dan_snyder,1,University of Maryland,Drop Out
dan_wilks,1,High School,Diploma
daniel_calugar,1,University of Florida,JD
daniel_calugar,2,University of Florida,LLM
daniel_calugar,3,University of North Florida,Bachelor of Business Administration
daniel_daniello,1,Harvard University,Master of Business Administration
daniel_daniello,2,Syracuse University,Bachelor of Arts/Science
daniel_dines,1,University of Bucharest,Bachelor of Science
daniel_dines,2,University of Bucharest,Master of Science
daniel_gilbert,1,Michigan State University,Bachelor of Arts/Science
daniel_gilbert,2,Wayne State University,LLB
daniel_loeb,1,Columbia University,Bachelor of Arts/Science
daniel_lubetzky,1,Trinity University of San Antonio,Bachelor of Arts/Science
daniel_nadler,1,Harvard,Ph.D
daniel_nadler,2,University of Toronto,Bachelor of Arts
daniel_och,1,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
daniel_pritzker,1,Northwestern University,Doctor of Jurisprudence
daniel_pritzker,2,Tufts University,Bachelor of Arts/Science
daniel_ziff,1,Columbia University,Bachelor of Arts/Science
david_baszucki,1,Stanford University,Bachelor of Arts/Science
david_blitzer,1,The Wharton School at the University of Pennsylvania,Bachelor of Arts/Science
david_booth,1,University of Kansas,Bachelor of Arts/Science
david_booth,2,University of Kansas,Master of Science
david_cheriton,1,University of British Columbia,Bachelor of Arts/Science
david_cheriton,2,University of Waterloo,Doctorate
david_cheriton,3,University of Waterloo,Master of Science
david_dean_halbert,1,Abilene Christian University,Bachelor of Business Administration
david_duffield,1,Cornell University,Bachelor of Engineering
david_duffield,2,Samuel Curtis Johnson Graduate School of Management,Master of Business Administration
david_filo,1,Stanford University,Master of Science
david_filo,2,Tulane University,Bachelor of Arts/Science
david_geffen,1,The University of Texas at Austin,Drop Out
david_golub,1,Harvard College,Bachelor of Arts/Economics
david_golub,2,Oxford University,Master of Philosophy
david_golub,3,Stanford Business School,Master of Business Administration
david_hoffmann,1,Central Missouri State University,Bachelor of Business Administration
david_kabiller,1,Northwestern University,Bachelor of Arts/Science
david_kabiller,2,Northwestern University,Master of Business Administration
david_kaplan,1,University of Michigan,Bachelor of Business Administration
david_paul,1,Temple University,Master of Science
david_paul,2,University of Madras,Bachelor of Arts/Science
david_rubenstein,1,Duke University,Bachelor of Arts/Science
david_rubenstein,2,University of Chicago,Doctor of Jurisprudence
david_shaw,1,Stanford University,Doctorate
david_shaw,2,"University of California, San Diego",Bachelor of Arts/Science
david_siegel_1,1,Massachusetts Institute of Technology,Ph.D
david_siegel_1,2,Princeton University,Bachelor of Arts/Science
david_steward,1,Central Missouri State University,Bachelor of Arts/Science
david_sun,1,Tatung University,Bachelor of Engineering
david_tepper,1,David A. Tepper School of Business,Master of Business Administration
david_tepper,2,University of Pittsburgh,Bachelor of Arts/Science
david_walentas,1,University of Virginia,Bachelor of Arts/Science
david_zalik,1,Auburn University,Drop Out
dean_solon,1,Purdue University,Drop Out
dennis_washington,1,High School,Diploma
diane_hendricks,1,High School,Diploma
dick_wolf_1,1,The University of Pennsylvania,Bachelor of Arts
dirk_ziff,1,Columbia University,Bachelor of Arts/Science
dirk_ziff,2,Harvard University,Master of Business Administration
don_hankey,1,University of Southern California,Bachelor of Arts/Science
don_vultaggio,1,High School,High School Graduate
donald_bren,1,University of Washington,Bachelor of Arts/Science
donald_newhouse,1,Syracuse University,Drop Out
donald_sterling,1,California State Los Angeles,Bachelor of Arts/Science
donald_sterling,2,Southwestern Law School,Doctor of Jurisprudence
donald_trump,1,Fordham University,
donald_trump,2,University of Pennsylvania,Bachelor of Arts/Science
doris_fisher,1,Stanford University,Bachelor of Arts/Science
doug_meijer,1,University of Michigan,Bachelor of Arts/Science
doug_ostrover,1,New York University,Master of Business Administration
doug_ostrover,2,University of Pennsylvania,Bachelor of Arts/Science
douglas_leone,1,Columbia University,Master of Science
douglas_leone,2,Cornell University,Bachelor of Arts/Science
douglas_leone,3,MIT Sloan School of Management,Master of Business Administration
douglas_rippel,1,Kansas State University,Bachelor of Arts
douglas_rippel,2,Wichita State University,Master of Business Administration
drayton_mclane_jr,1,Baylor University,Bachelor of Arts/Science
drayton_mclane_jr,2,Broad College of Business,Master of Business Administration
drew_houston,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
dustin_moskovitz,1,Harvard University,Drop Out
dwight_schar,1,Ashland University,Bachelor of Arts/Science
dylan_field,1,Brown University,Drop Out
e_joe_shoen,1,College of the Holy Cross,Bachelor of Arts/Science
e_joe_shoen,2,Harvard Business School,Master of Business Administration
edward_bass,1,Yale University,Bachelor of Arts/Science
edward_debartolo_jr,1,Notre Dame University,Bachelor of Arts/Science
edward_johnson_iv,1,Northeastern University,Bachelor of Arts/Science
edward_lampert,1,Yale University,Bachelor of Arts/Science
edward_roski_jr,1,University of Southern California,Bachelor of Arts/Science
edward_stack,1,St. John Fisher College,Bachelor of Arts/Science
egon_durban,1,Georgetown University,Bachelor of Science
elizabeth_johnson,1,Franklin Pierce University,Bachelor of Arts/Science
elon_musk,1,University of Pennsylvania,Bachelor of Arts/Science
eren_ozmen,1,University of Nevada at Reno,Master of Business Administration
eric_lefkofsky,1,University of Michigan,Bachelor of Arts/Science
eric_lefkofsky,2,University of Michigan,Doctor of Jurisprudence
eric_schmidt,1,Princeton University,Bachelor of Arts/Science
eric_schmidt,2,"University of California, Berkeley",Doctorate
eric_schmidt,3,"University of California, Berkeley",Master of Science
eric_yuan,1,China University of Mining and Technology,Master of Engineering Management
eric_yuan,2,Shandong Institute of Business and Technology,Bachelor of Engineering
ernest_garcia_ii,1,University of Arizona,Drop Out
ernest_garcia_iii,1,Stanford University,Bachelor of Science
evan_spiegel,1,Stanford University,Bachelor of Science
evan_williams,1,University of Nebraska Lincoln,Drop Out
farris_wilks,1,High School,Diploma
fernando_de_leon,1,Harvard University,Bachelor of Arts
forrest_preston,1,Oregon State University,
forrest_preston,2,Walla Walla College,
frank_fertitta_iii,1,University of Southern California,Bachelor of Arts/Science
frank_holding_jr,1,"University of North Carolina, Chapel Hill",Bachelor of Business Administration
frank_holding_jr,2,"University of Pennsylvania, Wharton",Master of Business Administration
frank_laukien,1,Harvard University,Doctorate
frank_laukien,2,Massachusetts Institute of Technology,Bachelor of Arts/Science
frank_slootman,1,"Erasmus University Rotterdam, The Netherlands",Bachelor of Science
frank_slootman,2,"Erasmus University Rotterdam, The Netherlands",Master of Science
frank_vandersloot,1,Brigham Young University,Bachelor of Arts/Science
fred_ehrsam,1,Duke Univeristy,Bachelor of Science
frederic_luddy,1,Indiana University,Drop Out
gabe_newell,1,Harvard University,Drop Out
gail_miller,1,University of Utah,Drop Out
garrett_camp,1,University of Calgary,Master of Science
gary_magness,1,Western State College of Colorado,Drop Out
gary_michelson,1,Hahnemann Medical College,Medical Doctor
gary_michelson,2,Temple University,Bachelor of Arts/Science
gary_rollins,1,University of Tennessee Chattanooga,Bachelor of Arts/Science
gayle_benson,1,High School,High School Graduate
geoffrey_palmer,1,Pepperdine Caruso School of Law,Doctor of Jurisprudence
geoffrey_palmer,2,University of Colorado at Boulder,Bachelor of Arts/Economics
george_argyros,1,Chapman University,Bachelor of Arts/Science
george_joseph,1,Harvard University,Bachelor of Arts/Science
george_kaiser,1,Harvard University,Bachelor of Arts/Science
george_kaiser,2,Harvard University,Master of Business Administration
george_kurtz,1,Seton Hall University,Bachelor of Science
george_lucas,1,University of Southern California,Bachelor of Arts/Science
george_marcus,1,San Francisco State,Bachelor of Arts/Economics
george_roberts,1,Claremont McKenna College,Bachelor of Arts/Science
george_roberts,2,UC Hastings,Doctor of Jurisprudence
george_soros,1,London School of Economics,Bachelor of Arts/Science
george_yancopoulos,1,Columbia University,Medical Doctor
george_yancopoulos,2,Columbia University,Ph.D
gerald_ford,1,Southern Methodist University,Bachelor of Arts/Science
gerald_ford,2,Southern Methodist University,Doctor of Jurisprudence
gerry_cardinale,1,Harvard,Bachelor of Arts/Science
gerry_cardinale,2,Oxford Univeristy,Master of Philosophy
glen_taylor,1,Minnesota State University,Bachelor of Arts/Science
glenn_dubin,1,SUNY Stony Brook,Bachelor of Arts/Science
gordon_getty,1,San Francisco Conservatory of Music,Bachelor of Arts/Science
gregg_hymowitz,1,Harvard Law School,Doctor of Jurisprudence
gregg_hymowitz,2,State University of New York at Binghamton,Bachelor of Arts
gwynne_shotwell,1,Northwestern University,Bachelor of Arts/Science
gwynne_shotwell,2,Northwestern University,Master of Science
h_fisk_johnson,1,Cornell University,Bachelor of Arts/Science
h_fisk_johnson,2,Cornell University,Doctorate
h_fisk_johnson,3,Cornell University,Master of Science
h_fisk_johnson,4,Samuel Curtis Johnson Graduate School of Management,Master of Business Administration
h_ross_perot_jr,1,Vanderbilt University,Bachelor of Arts/Science
haim_saban,1,High School,Diploma
hal_steinbrenner,1,University of Florida,Masters in Finance
hal_steinbrenner,2,Williams College,Bachelor of Science
hamdi_ulukaya,1,SUNY Albany,Master of Business Administration
hamilton_james,1,Harvard University,Bachelor of Arts/Science
hamilton_james,2,Harvard University,Master of Business Administration
hank_meijer,1,University of Michigan,Bachelor of Arts/Science
hansjoerg_wyss,1,Harvard University,Master of Business Administration
hansjoerg_wyss,2,Swiss Federal Institute of Technology,Master of Science
harold_hamm,1,High School,Diploma
harold_hamm,2,Phillips University,Drop Out
hartley_rogers,1,Harvard Business School,Master of Business Administration
hayes_barnard,1,University of Missouri,Bachelor of Business Administration
helen_johnson_leipold,1,Cornell University,Bachelor of Arts/Science
hemant_taneja,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
hemant_taneja,2,Massachusetts Institute of Technology,Master of Science in Engineering
henry_davis,1,University of Denver,Bachelor of Arts/Science
henry_kravis,1,Claremont McKenna College,Bachelor of Arts/Science
henry_kravis,2,Columbia Business School,Master of Business Administration
henry_laufer,1,City College of New York,Bachelor of Arts/Science
henry_laufer,2,Princeton University,Doctorate
henry_nicholas_iii,1,"University of California, Los Angeles",Bachelor of Arts/Science
henry_nicholas_iii,2,"University of California, Los Angeles",Doctorate
henry_nicholas_iii,3,"University of California, Los Angeles",Master of Science
henry_samueli,1,"University of California, Los Angeles",Bachelor of Arts/Science
henry_samueli,2,"University of California, Los Angeles",Doctorate
henry_samueli,3,"University of California, Los Angeles",Master of Science
henry_swieca,1,Columbia Business School,Master of Business Administration
henry_swieca,2,SUNY Stony Brook,Bachelor of Arts/Science
herald_chen,1,Stanford University,Master of Business Administration
herald_chen,2,The University of Pennsylvania,Bachelor of Science
herb_simon,1,City College of New York,Bachelor of Arts/Science
herbert_allen_jr,1,Williams College,Bachelor of Arts/Science
herbert_wertheim,1,Brevard Community College,Associate in Arts/Science
herbert_wertheim,2,Southern College of Optometry,Bachelor of Arts/Science
herbert_wertheim,3,Southern College of Optometry,Doctorate
herriot_tabuteau,1,Wesleyan,Bachelor of Arts
herriot_tabuteau,2,Yale School of Medicine,Medical Doctor
holden_spaht,1,Dartmouth College,Bachelor of Arts/Science
holden_spaht,2,Harvard Business School,Master of Business Administration
howard_marks,1,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
howard_schultz,1,Northern Michigan University,Bachelor of Arts/Science
igor_makarov,1,Turkmen State University,Bachelor of Arts/Science
igor_olenicoff,1,University of Southern California,Bachelor of Arts/Science
igor_olenicoff,2,University of Southern California,Master of Business Administration
igor_olenicoff,3,University of Southern California,Master of Science
igor_tulchinsky,1,The University of Texas at Austin,Master of Arts
igor_tulchinsky,2,The Wharton School at the University of Pennsylvania,Master of Business Administration
ion_stoica,1,Carnegie Mellon University,Ph.D
ira_rennert,1,Brooklyn College,Bachelor of Arts/Science
ira_rennert,2,Leonard N. Stern School of Business,Master of Business Administration
irving_grousbeck,1,Amherst College,Bachelor of Arts
irving_grousbeck,2,Harvard University,Master of Business Administration
isaac_perlmutter,1,High School,High School Graduate
israel_englander,1,New York University,Bachelor of Arts/Science
j_christopher_flowers,1,Harvard University,Bachelor of Arts/Science
j_christopher_reyes,1,University of Maryland,Bachelor of Arts/Science
j_hyatt_brown,1,University of Florida,Bachelor of Arts/Science
j_joe_ricketts,1,Creighton University,Bachelor of Arts/Science
j_tomilson_hill,1,Harvard Business School,Master of Business Administration
j_tomilson_hill,2,Harvard University,Bachelor of Arts/Science
j_wayne_weaver,1,University of Florida,Bachelor of Science
jack_dangermond,1,California State Polytechnical University,Bachelor of Arts/Science
jack_dangermond,2,Harvard University,Master of Science
jack_dangermond,3,University of Minnesota,Master of Science
jack_dorsey,1,New York University,Drop Out
jacqueline_mars,1,Bryn Mawr College,Bachelor of Arts/Science
jahm_najafi,1,University of California Berkeley,Bachelor of Arts/Economics
james_chambers,1,Bard College,Bachelor of Arts/Science
james_chao,1,Massachusetts Institue of Technology,Bachelor of Arts/Science
james_clark,1,University of New Orleans,Bachelor of Arts/Science
james_clark,2,University of New Orleans,Master of Science
james_clark,3,University of Utah,Ph.D
james_dinan,1,Harvard University,Master of Business Administration
james_dinan,2,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
james_france,1,Florida Southern College,Bachelor of Arts/Science
james_goodnight,1,North Carolina State University,Bachelor of Arts/Science
james_goodnight,2,North Carolina State University,Doctorate
james_goodnight,3,North Carolina State University,Master of Science
james_jannard,1,University of Southern California,Drop Out
james_leininger,1,Indiana University,Bachelor of Arts/Science
james_leininger,2,Indiana University,Medical Doctor
james_litinsky,1,Northwestern University Pritzker School of Law,JD
james_litinsky,2,Northwestern University's Kellogg School of Management,Master of Business Administration
james_litinsky,3,Yale College,Master of Arts/Science
james_scapa,1,Columbia University,Bachelor of Arts/Science
james_scapa,2,University of Michigan,Master of Business Administration
james_tisch,1,Cornell University,Bachelor of Arts/Science
james_tisch,2,The Wharton School at the University of Pennsylvania,Master of Business Administration
james_truchard,1,The University of Texas at Austin,Doctorate
jamie_dimon,1,Harvard Business School,Master of Business Administration
jan_koum,1,San Jose State University,Drop Out
jane_goldman,1,Manhattanville College,Bachelor of Arts/Science
jane_lauder,1,Stanford University,Bachelor of Arts/Science
janice_mcnair,1,Columbia College,Bachelor of Arts/Science
jared_kushner,1,Harvard University,Bachelor of Arts
jared_kushner,2,New York University,JD
jared_kushner,3,New York University,Master of Business Administration
jared_smith_1,1,London School of Economics,Bachelor of Science
jason_murray,1,Weber State University,Bachelor of Arts
jason_murray,2,Weber State University,Master
jay_chaudhry,1,"Indian Institute of Technology, BHU",Bachelor of Technology
jay_paul,1,Boston University,Bachelor of Arts/Science
jayshree_ullal,1,San Francisco State University,Bachelor of Arts/Science
jayshree_ullal,2,Santa Clara University,Master of Science
jb_pritzker,1,Duke University,Bachelor of Arts/Science
jb_pritzker,2,Northwestern University,Doctor of Jurisprudence
jean_gigi_pritzker,1,Stanford University,Bachelor of Arts/Science
jean_marc_chapus,1,Harvard University,Bachelor of Arts/Science
jean_marc_chapus,2,Harvard University,Master of Business Administration
jeff_bezos,1,Princeton University,Bachelor of Arts/Science
jeff_greene,1,Harvard University,Master of Business Administration
jeff_greene,2,Johns Hopkins University,Bachelor of Arts/Science
jeff_lawson,1,University of Michigan,Bachelor of Arts/Science
jeff_rothschild,1,Vanderbilt University,Bachelor of Arts/Science
jeff_rothschild,2,Vanderbilt University,Master of Science
jeff_skoll,1,Stanford Graduate School of Business,Master of Business Administration
jeff_skoll,2,University of Toronto,Bachelor of Arts/Science
jeff_sprecher,1,Pepperdine University,Master of Business Administration
jeff_sprecher,2,University of Wisconsin,Bachelor of Science
jeff_sutton,1,"University of Pennsylvania, The Wharton School",Bachelor of Arts/Science
jeff_t_green,1,University of Southern California,Bachelor of Arts/Science
jeff_tangney,1,Stanford Graduate School of Business,Master of Business Administration
jeff_tangney,2,University of Wisconsin Madison,Bachelor of Science
jeff_yass,1,SUNY Binghamton,Bachelor of Science
jeffery_hildebrand,1,The University of Texas at Austin,Bachelor of Arts/Science
jeffery_hildebrand,2,The University of Texas at Austin,Master of Science
jeffrey_gundlach,1,Dartmouth College,Bachelor of Arts/Science
jeffrey_lorberbaum,1,University of Denver,Bachelor of Arts/Science
jeffrey_lurie,1,Brandeis University,Doctorate
jeffrey_lurie,2,Clark University,Bachelor of Arts/Science
jeffrey_soffer,1,University of Miami,Drop Out
jeffrey_talpins,1,Yale University,Bachelor of Arts/Science
jennifer_gilbert,1,Michigan State University,Bachelor of Arts/Science
jennifer_pritzker,1,Loyola University Illinois,Bachelor of Arts/Science
jennifer_steinbrenner_swindal,1,The University of North Carolina at Chapel Hill,
jensen_huang,1,Oregon State University,Bachelor of Science in Engineering
jensen_huang,2,Stanford University,Master of Science in Engineering
jeremy_jacobs_sr,1,SUNY Buffalo,Bachelor of Arts/Science
jerry_jones,1,University of Arkansas,Bachelor of Arts/Science
jerry_jones,2,University of Arkansas,Master of Arts
jerry_reinsdorf,1,George Washington University,Bachelor of Arts/Science
jerry_reinsdorf,2,Northwestern University,Law Degree
jerry_seinfeld,1,City University of New York Queens,Bachelor of Arts/Science
jerry_speyer,1,Columbia Business School,Master of Business Administration
jerry_speyer,2,Columbia University,Bachelor of Arts/Science
jerry_yang,1,Stanford University,Bachelor of Arts/Science
jerry_yang,2,Stanford University,Master of Science
jessica_steinbrenner,1,Sweet Briar College,
jim_breyer,1,Harvard Business School,Master of Business Administration
jim_breyer,2,Stanford University,Bachelor of Arts/Science
jim_coulter,1,Dartmouth College,Bachelor of Arts/Science
jim_coulter,2,Stanford University,Master of Business Administration
jim_crane,1,Central Missouri State University,Bachelor of Arts/Science
jim_davis,1,Middlebury College,Bachelor of Arts/Science
jim_davis_1,1,Villanova University,Bachelor of Arts/Science
jim_kavanaugh,1,St. Louis University,Bachelor of Arts/Science
jim_kennedy,1,University of Denver,Bachelor of Arts/Science
jim_koch,1,Harvard University,Bachelor of Arts/Science
