person,age_at_founding,age_became_billionaire,age_education_ended,books_authored,children_in_business,co_founded,co_founder_skill_complement,consumption_index,employer_1,employer_2,employer_3,estimated_inheritance_m,estimated_lifetime_giving_m,ethnicity,family_business_type,family_office,family_office_name,family_owned_business,family_socioeconomic_class,father_occupation,first_gen_immigrant,first_institutional_investor,foundation_name,founding_detail,giving_pct_of_net_worth,giving_pledge_signatory,government_roles_held,heritage_detail,initial_funding_detail,initial_funding_type,known_art_collector,known_failed_ventures,major_lawsuits,market_position,market_position_detail,media_visibility,moat_type,moat_type_detail,mother_occupation,notable_political_positions,number_of_co_founders,number_of_companies_founded,number_of_marriages,parent_education_level,parent_immigrant,parent_immigration_detail,party,party_detail,pre_wealth_bankruptcy,primary_domain_expertise,primary_philanthropic_causes,private_jet,revenue_model_type,revenue_model_type_detail,role_at_employer_1,role_at_employer_2,role_at_employer_3,skill_profile,social_media_activity,total_pre_founding_career_years,wealth_concentration_ratio_pct,yacht,year_founded,years_at_employer_1,years_at_employer_2,years_at_employer_3,years_founding_to_1b
alec_gores,34,,26.0,0,1.0,Y,Brothers (Tom Gores),low,Uncle's grocery store,,,,,"american,israeli",Grocery/Retail (uncle's store),Y,The Gores Trust,N,wealthy,Co-founder of U-Haul (truck and trailer rental),Y,,,,,N,,,Self-funded,self_funded,,,,,,medium,,,Co-founder of U-Haul (truck and trailer rental),,2.0,2.0,,,Y,"from Israel, arrived 1968",republican,,N,Private Equity / SPAC,,Y,management_fees,Management fees / carried interest,Grocery bagger,,,finance,low,,,Y,1987,1968.0,,,
alejandro_santo_domingo,,,,0,1.0,Y,Brother (Keith Bentley),high,Quadrant Capital Advisors,,,,,"colombian,latin_american",Beer/Beverages (SABMiller stake),Y,Quadrant Capital Advisors,Y,wealthy,Business magnate / Beer industry investor,N,,,,,N,,,,,Y,,,,,medium,,,Schoolteacher,,1.0,,1.0,college,N,,,,N,Investment advisory / M&A,Arts and culture,,,,Senior Managing Director,,,finance,low,,,,1984,,,,
alex_behring,,,,0,,Y,"Lemann, Telles, Sicupira - Brazilian PE partners",medium,,,,,700.0,"american,brazilian",Medical Equipment,Y,,N,wealthy,Grandson of Homer Stryker (Stryker Corp founder),Y,,Arcus Foundation,,,N,,,Private equity,private_equity,,,,,,low,,,,"LGBTQ rights, HIV issues, great ape conservation",3.0,1.0,1.0,,Y,born Brazil,,,,Architecture / Philanthropy,"LGBTQ rights (Arcus Foundation, largest global LGBTQ funder), great ape conservation",Y,food_beverage,"Consumer/food PE (Kraft Heinz, Burger King/RBI, AB InBev; zero-based budgeting methodology)",,,,"finance,ops",,,,Y,,,,,
alex_shevchenko,,,,0,,Y,"Max Lytvyn, Dmytro Lider - fellow Ukrainian entrepreneurs",,Thiel Capital / hedge fund (Peter Thiel),Palantir,OpenGov,,,"american,ukrainian",,,,N,,,Y,Accel,Cicero Institute,,,N,,,,,,"My Dropbox (plagiarism detector, prior startup)",,winner_take_most,,high,"data,network_effects",Network effects / AI/data moat,,"Entrepreneur-friendly public policy, healthcare, housing",2.0,2.0,,,,,republican,Conservative,,Venture Capital / Technology,,,saas_subscription,SaaS / Subscription,Employee / early career role,Co-Founder,Co-Founder,"finance,tech",,,,,2009,,,,
alexander_karp,36,,33.0,1,0.0,Y,"Thiel (capital/vision), Lonsdale (Stanford connections), Cohen/Gettings (engineering)",medium,Stanford Law (JD),,,,,biracial,Fidelity Investments (4th generation),Y,FMR LLC,N,upper_middle,Pediatrician,N,In-Q-Tel,,,,N,,"Jewish father, African-American mother",Government/CIA (In-Q-Tel),government,Y,,Palantir sued by US DOL (2016) over alleged hiring discrimination,winner_take_most,,high,"data,switching_costs",Government contracts / Security clearances / Data infrastructure lock-in,,Self-identifies as socialist; supports Western defense tech; ICE/Israel contracts controversial,4.0,1.0,0.0,graduate_professional,N,US-born parents,independent,Left-leaning (self-identified socialist,N,Defense/Intelligence Data Analytics,"Arts, education, historic preservation",Y,other,"Government + enterprise AI/data analytics (Gotham, Foundry, AIP)",,,,"ops,tech",low,3.0,9.56,N,2003,,,,12.0
alexandr_wang,19,25.0,19.0,0,,Y,"Engineering/Operations (Lucy Guo, design and engineering)",low,Addepar,Quora,Scale AI,0.0,,"american,chinese",,,,N,middle,"Physicists (both parents, Los Alamos National Lab)",N,Y Combinator,,,,N,Chief AI Officer at Meta (from 2025),,Y Combinator,accelerator,,,,winner_take_most,,medium,"data,network_effects",Data network effects / Defense contracts,Physicist (weapons physicist),Pro-defense AI; national security AI advocate,1.0,1.0,0.0,graduate_professional,Y,,,,N,AI / Machine Learning / Data Labeling,,,construction,AI data labeling/infrastructure for defense and enterprise ($1B+ ARR; valued $14B+),Engineer,Engineer,CEO and Co-Founder,tech,medium,2.0,4.0,N,2016,,,2016.0,5.0
alexandra_daitch,18,,18.0,0,,N,,high,Los Arcos Equipment,Ahern's Trailer and Equipment Rental,,,,,Food/Agriculture (Cargill),,,Y,wealthy,Investor/Heir (Cargill stakeholder),,,,,,N,"Finance Chair, Nevada State Republican Party",,Self-funded/bootstrapped,self_funded,,,,winner_take_most,,medium,,,,"Finance chair, Nevada State Republican Party; Trump supporter; hosts conservative events at Ahern Luxury Boutique Hotel",0.0,2.0,,,,,republican,,,Construction equipment rental,,,other,Equipment rental/manufacturing,Founder/Owner,Owner (purchased from father),,"ops,sales",,,30.0,,1978,12.0,32.0,,
alexis_le_quoc,30,31.0,,0,,Y,Pomel (CEO/business) complements Le-Quoc (CTO/tech),low,Wireless Generation,Datadog,,,,"american,french",,,,N,,,Y,Accel,,,,N,,,Venture Capital,venture_capital,,,,winner_take_most,,low,switching_costs,Platform/switching costs in cloud monitoring,,,1.0,1.0,,,,,,,N,Software Engineering / Cloud Infrastructure,,,saas_subscription,SaaS / Subscription,Engineer/Employee,Co-Founder & CTO,,tech,low,10.0,3.0,,2010,,16.0,,10.0
alfred_west_jr,25,57.0,23.0,0,,Y,Douglas McNair (co-founder 1968); Steven Katz (joined 1972),,Unnamed aerospace company,University of Pennsylvania (Wharton),,,300.0,"american,white",,Y,,N,wealthy,"Insurance agency owner (INA insurance, Brooksville FL)",N,,Hyde Family Foundation,,,N,,,Personal/self-funded via home mortgage (~$400K),self_funded,,,,winner_take_most,,low,"ip,switching_costs,technology",High switching costs from deeply embedded proprietary technology platform,,,1.0,1.0,,,,,republican,,,,Local causes in Memphis,N,"management_fees,platform_marketplace",Recurring asset-based fees (AUM/AUA) + technology outsourcing platform fees,Engineer,Teaching fellow / PhD candidate,,,low,,,Y,1979,0.5,2.0,,
ali_ghodsi,,,,1,,Y,UC Berkeley academics with data/analytics expertise,high,Quadrant Capital Advisors,,,,,"iranian,swedish",Beer/Beverages (SABMiller stake),Y,,N,wealthy,Business magnate / Beer industry investor,Y,,,,,,,,Venture/Institutional,other,Y,,,,,high,technology,Technology platform (Apache Spark ecosystem),,,6.0,1.0,1.0,,Y,fled Iran 1979 Revolution,,,,Investment advisory / M&A,Arts and culture,,"platform_marketplace,saas_subscription",SaaS/Cloud platform,Senior Managing Director,,,finance,,,,,2013,,,,
alice_walton,62,,1971.0,0,0.0,N,,medium,Walmart,First Commerce Corporation,,3000.0,1000.0,"american,white",Walmart (founded 1962),Y,Walton Enterprises LLC,Y,wealthy,"Sam Walton, Walmart founder",N,,Walton Family Foundation (shared); Alice L. Walton Foundation,,1.0,N,,,,,Y,,DWI incidents (1998 fatal accident in which another driver died; 2011 arrest),winner_take_most,#1 retailer globally,low,"distribution,scale",Scale / Logistics / EDLP pricing,Helen Robson Walton (homemaker/philanthropist),,,1.0,2.0,college,N,,republican,,N,"Art curation, equestrian, finance","Art (Crystal Bridges, $800M+ donated), medical education (Whole Health School of Medicine), K-12 education reform",Y,retail,Retail,"Buyer, children's clothes",Head of investments / Vice Chair,,finance,,,99.0,N,2011,,,,
aman_sanger,,,,0,,Y,,low,Bridgewater Associates,Google,AI Consultancy (own firm),,,,,,,N,,,N,,,,,,,,,,,,,winner_take_most,,low,network_effects,Product ecosystem / developer network effects,,"Trump Special Envoy to Middle East (2025); involved in Gaza peace negotiations, Ukraine war negotiations, Iran nuclear program negotiations",3.0,2.0,,,,,republican,close Trump friend,N,AI software / code editing,,,saas_subscription,SaaS / subscription,Intern,Intern,Founder,tech,,,6.4,,2022,,,29.0,
amos_hostetter,26,,,0,,Y,Operations/Management,low,,,,,1700.0,"american,white",Oil,Y,Pilot House Ventures,N,wealthy,Perry Bass (nephew of oil baron Sid Richardson),N,,Barr Foundation,,42.5,Y,,,"Personal savings ($1,500)",self_funded,Y,,,winner_take_most,,low,location,Infrastructure/geographic monopoly,,,1.0,1.0,1.0,,N,,democrat,,N,Finance / Investment / Oil,"Arts, education, climate change",N,"media_entertainment,telecom","Founded Continental Cablevision (sold to US West/MediaOne $11.5B, 1996)",,,,finance,low,,100.0,N,1963,,,,30.0
amy_adams_strunk,,,,0,,Y,,,Apollo Global Management,Shelter Capital Partners,Ares Management,,,,"NFL franchise, car dealerships, oil interests",,,Y,wealthy,NFL team founder / oil businessman,N,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,Alternative Asset Management / Credit,,,,,Employee,Employee,"Cofounder, Director, Partner",finance,,13.0,,,2003,10.0,3.0,2003.0,
amy_wyss,,,22.0,0,,Y,,,Synthes,LOR Foundation,,,,"american,swiss",Medical equipment manufacturing,Y,Escape Investment Management,Y,wealthy,Founder/CEO of Synthes (medical equipment),N,,LOR Foundation,,,,,,,,,,,,,,,,,,2.0,2.0,,,Y,Greek Holocaust survivors,,,,Engineering Software / Simulation,Rural community quality of life improvement (Mountain West),,,,Computer Engineering Consultant,Founder,,tech,,,,,2007,,40.0,,
andreas_halvorsen,37,,,0,,Y,,medium,Norwegian Navy,Morgan Stanley,Tiger Management,1000.0,,"american,norwegian",National Amusements / Viacom,,,N,wealthy,Sumner Redstone (media mogul),Y,,,,,N,,,,,,,,fragmented,,low,distribution,Content library / Distribution,,,2.0,1.0,1.0,,,"Born Stranda, Norway; moved to US for education",republican,,,Equities / Hedge fund management,,,"financial_services,management_fees",Long/short equity hedge fund (~$50B AUM),SEAL (special forces),Equities division,Analyst/Partner,finance,low,,,,1999,3.0,,,
andreas_santo_domingo,24,,22.0,0,,Y,,high,First Boston,Kemado Records (Kemado Media Group),Blackstone,,,"american,colombian",Beer / Beverage (SABMiller / Anheuser-Busch InBev),,,Y,wealthy,Business magnate / beer industry (SABMiller),N,,Hill Art Foundation,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Mergers & Acquisitions / Hedge Funds / Private Equity,"Conservation, libraries (Conservation International, New York Public Library)",,,,"Co-founder, M&A department",Co-Founder,Head of hedge fund group / Vice Chairman,finance,,,,,2002,,,26.0,
andrew_beal,,,,0,,N,,medium,Self (real estate),Enterprise Products Partners,,9000.0,,"american,white",Energy pipelines / midstream,,,N,wealthy,Dan L. Duncan (co-founded Enterprise Products 1968 with $10K and 2 fuel trucks),N,,,,,N,,,Self-funded,self_funded,,Beal Aerospace,Lost $51.4M lawsuit to lawyer over 3 years,fragmented,,low,other,Contrarian distressed-asset strategy / Most profitable bank in America (2000),,,0.0,2.0,,,,,libertarian,Republican ($2M+ Trump super PACs,N,Banking/Finance/Real Estate,,,"financial_services,real_estate","Banking (distressed asset buying), real estate",Investor/Landlord,President and CEO,,finance,low,6.0,,,1988,6.0,25.0,,
andrew_bialecki,26,35.0,22.0,3,,Y,,low,Software engineering (unnamed employer),Roivant Sciences,Strive Asset Management,,,"american,indian",,,,N,upper_middle,GE engineer (immigrated from Kerala),N,,,,,,,,Bootstrapped (no VC for first 3 years),self_funded,,Alzheimer's drug (failed after $3B IPO),,,,low,,,,"Anti-ESG, anti-woke, DOGE co-head, 2024 GOP presidential candidate, running for OH Governor 2026",1.0,1.0,,,Y,"from Kerala, India",republican,2024 presidential candidate; DOGE co-lead with Elon Musk briefly,,Marketing Automation Software,,,retail,Email/SMS marketing automation for e-commerce,Software Engineer,Founder/CEO,Founder,tech,,5.0,38.0,,2012,,6.0,4.0,9.0
andrew_cherng,30,,30.0,0,3.0,Y,wife Peggy Cherng (technology/operations),low,family restaurant (Pasadena),Panda Express,Boston University,,30.0,"american,chinese",restaurant,,,N,wealthy,restaurateur,Y,,Giving Pledge (philanthropic commitment),,0.4,Y,,"born Yangon, Myanmar/Burma; raised in Taiwan/Japan",self-funded,self_funded,,Several forgettable films (Chestnut Hill Productions),Gender discrimination lawsuit (2021),winner_take_most,,low,"brand,scale",Company-owned (no franchising) / Brand / Scale (#1 Chinese restaurant chain globally),,,1.0,2.0,2.0,,Y,,,,N,restaurant operations / food service,"Education, youth development, Caltech ($30M)",,food_beverage,"Company-owned Chinese-American restaurants (2,600+ locations in 12 countries)",co-owner/operator,Co-founder / Co-CEO,Adjunct Assistant Professor of Social Policy,ops,low,10.0,95.0,,1983,10.0,43.0,9.0,30.0
andrew_karam,,,,3,,Y,Brother Ken Xie (co-founder),low,Various network security companies,,Fortinet,,,"american,chinese",,,,N,,,Y,Accel,,,,,,,,,,,,fragmented,,low,,,,,,1.0,,,Y,,,,,Network Security / Cybersecurity,Philanthropy,,saas_subscription,"Subscription/Services (enterprise firewalls, cloud security, network security)",Engineer/Network Security roles,,Co-Founder and CTO,tech,,,4.0,,2012,,,26.0,
andrew_macmillan,,,,1,,,,,,,,,,,"Food, agriculture, financial and industrial (Cargill)",,,Y,wealthy,Cargill shareholder/heir (John H. MacMillan III),,,,,,,,,,,,,,winner_take_most,,,ip,Family ownership ~90% of largest US private company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew_tisch,,,,0,,Y,,,The First Boston Corporation,BlackRock,,,,,"Conglomerate (insurance, drilling rigs, natural gas pipelines, hotels)",,,Y,wealthy,Co-founder of Loews Corporation (hotel/conglomerate),N,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,Managing Director,"Co-Founder, Chairman and CEO",,,,,,,1946,,38.0,,
andy_fang,20,27.0,22.0,0,,Y,"Tony Xu (CEO/business), Stanley Tang (tech), Evan Moore (ops)",low,DoorDash,,,0.0,,"american,chinese",,,,N,middle,,Y,Y Combinator,,,,N,,,Seed/Venture Capital,venture_capital,,,,winner_take_most,,low,ip,Patents / IP,,,3.0,1.0,,,Y,,,,N,Biomedical Engineering / Drug Delivery,,N,platform_marketplace,Platform/Marketplace,Head of Consumer Engineering,,,tech,low,0.0,4.0,N,2013,,,,5.0
andy_jassy,35,,29.0,0,0.0,N,,,Amazon,Amazon,Medline,,,"american,white",Medical supplies distribution,,,Y,wealthy,Co-founder of Medline (medical supplies),N,,,,,N,,Jewish heritage,Internal (Amazon),other,,,FTC antitrust lawsuit against Amazon (2023),winner_take_most,,medium,"data,distribution,scale",Scale / Platform / Data / Logistics / Cloud,,,0.0,1.0,1.0,,,,,,N,Cloud Computing/Technology Operations,,,"advertising,media_entertainment,retail","E-commerce, cloud (AWS), advertising, streaming, AI, devices, logistics",Marketing manager → founded AWS,CEO,Director,"ops,tech",low,27.0,100.0,N,2003,27.0,5.0,,
andy_konwinski,,,,1,,Y,,,Shoe sales (early career),Nine West,,0.0,,,,Y,Laude Ventures,N,working,,N,,Laude Institute,,,N,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,Retail / Footwear,Moonshot research on fundamental human problems,,,,Shoe salesman,CEO,,"ops,sales",,,33.0,,2013,,,,
andy_mills,,,,4,2.0,Y,,,Medline,,Medline,,,"american,taiwanese",Medical supplies distribution,Y,Council Ring Capital,Y,wealthy,Co-founder of Medline (medical supplies),N,Blackstone,,,,N,,,Bootstrapped,self_funded,,,,fragmented,,low,"distribution,scale",Scale/Distribution Network,,,2.0,1.0,,,Y,father T.T. Chao moved family from Taiwan to U.S.,republican,,N,Operations/Supply Chain,,,other,Distribution/B2B Sales,President,,Director,ops,low,,,,1966,26.0,,,
andy_von_bechtolsheim,52,,26.0,1,0.0,Y,David Cheriton (academic/research background),medium,Sun Microsystems,Arista Networks,Google,,900.0,"american,german",,,,N,upper_middle,,Y,,Kinder Foundation,,95.0,Y,,,Buyout/Self-funded,self_funded,N,Kealia (acquired by Sun Microsystems),SEC insider trading charges (settled 2024),winner_take_most,,low,scale,Scale (largest energy infrastructure co in North America) / Regulated assets,,,1.0,4.0,2.0,,,,,Non-partisan,N,Network hardware / computer engineering,"$150M Texas Childrens Hospital (2025), $70M Memorial Park, Houston community",N,"construction,energy_resources","Pipeline/infrastructure (83,000 miles pipelines, 140 terminals)",Co-Founder,Co-Founder and Chief Architect,Angel Investor / Early Employee,tech,low,,17.0,N,2004,13.0,22.0,,
aneel_bhusri,39,48.0,26.0,0,,Y,Dave Duffield - enterprise software founder/domain expert,low,PeopleSoft (SVP),Greylock Partners,Intel,,,"american,indian",,,,N,middle,,N,Greylock Partners,Bhusri Family Foundation,,,Y,,,Venture Capital,venture_capital,,,Oracle hostile takeover of PeopleSoft litigation,,,medium,ip,Patents / Process IP,,,1.0,1.0,1.0,,Y,,democrat,,N,Enterprise Software,"Education, youth development",,other,Power management semiconductors ($2.2B revenue),Employee/rose to Vice Chairman,Managing Partner,Board Member,tech,low,,,N,2005,,9.0,,
anita_zucker,,,,0,,Y,,,Elementary school (teaching),Drexel Burnham Lambert,Crescent Capital Group,,,american,"Chemicals manufacturing, aerospace engineering, commercial real estate",,,Y,wealthy,Actor,N,,,,,,,"Bronx, New York",,,,,,fragmented,,,,,,,1.0,1.0,,,,Father was Holocaust survivor (immigrant),,,,Debt / Credit investing,,,,,Teacher,Investment banker,Managing Partner / Co-Founder,finance,,,,,1982,,,,
